Remember what she said in my last letter? "	3.0
.."	3.0
Goodwill helps people get off of public assistance.	3.44
Sherry learned through our Future Works class that she could rise out of the mire of the welfare system and support her family.	3.55
Coming to Goodwill was the first step toward my becoming totally independent.	3.6
I am now... totally off of welfare."	3.0
Goodwill prepares people for life-long employment.	3.1
Here's another story of success from what might seem like an unlikely source: Goodwill's controller, Juli.	3.25
Cornell found a number of employment options that he never dreamed existed after a work-site injury forced him out of his job at a foundry.	3.25
Dear ,	3.0
After a lifetime of trials, Donna not only earned her GED at Goodwill, she earned a job here. "	3.57
I rode a bike to Goodwill in the rain and snow.	2.88
I wanted to be there.	2.7
..I had my second chance to change my life."	3.5
Your gift to Goodwill will help the many people who want to tell their own stories of success.	3.63
Your support will help them go to work.	3.7
Please use the enclosed envelope to give a generous gift to Goodwill today!	3.5
Sincerely,	3.14
William A Carter, Chairman Goodwill Industries Foundation	3.1
P.S.	3.0
Your gift is a wise investment in the community.	3.5
For every dollar donated to Goodwill in 1998, we helped our "graduates" earn an estimated $102.	3.88
That money was then spent in a variety of ways, adding fuel to our thriving economy.	3.25
A few months ago you received a letter from me telling the success stories of people who got jobs with Goodwill's help.	3.4
In addition to that, by helping them find jobs, Goodwill reduced the state's Public Support tab by an estimated $4 million.	3.37
Your gift to Goodwill will help us do even more this year because your gift will be used to directly support our work.	3.6
What kind of work does Goodwill do?	3.0
Goodwill finds jobs for people with mental and physical disabilities.	3.29
After Maureen's job coach taught her how to do her job in a restaurant, we helped Maureen step out of the shadow sometimes cast over people with physical and mental disabilities and find a fulfilling job smack dab in the middle of society.	3.43
Every time we help someone find a solution to their employment barrier, the positive effects radiate throughout our community:	3.6
The business community welcomes not only another worker, but a consumer with increased purchasing power.	3.4
Parents act as role models of self-sufficiency instead of dependency.	3.0
Tax dollars that would have been spent on public assistance are saved.	3.12
You and I know that solutions to difficult problems don't just happen.	2.7
At Goodwill, it is the hard work of staff and those who benefit from our services that produces the kind of inspiring results I see every day:	3.8
November 15, 1996	3.1
"You can get off welfare.	3.0
I know you can...	3.12
I did."	3.1
A participant in a Goodwill program rushes back from a job interview to share the results with his classmates in our desktop publishing training program.	3.0
His job objectives call for him to do it in 30.	2.82
once his tears have subsided, he confirms what his classmates have already figured out: he just received a job offer -- his first in five years.	3.46
Addressing a meeting at a neighborhood center, a Goodwill staff member tells the audience how Goodwill can help them find and keep jobs.	3.27
At the next corner he tells five more.	3.09
In order to develop job skills, a man with some serious disabilities begins working in Goodwill's industrial division.	3.11
It takes a long time for him to gain the self-confidence to work elsewhere in the community.	2.62
Eventually, he turns your support into a payoff for all of us.	3.11
These people and their successes are real.	3.25
Neither do we.	3.0
Just like the respect we've earned from U.S. News & World Report.	3.0
Real work.	3.0
A real difference in people's lives -- in all of our lives.	3.1
The people who can benefit most directly from your generosity have no time to waste.	3.12
Neither do the rest of us who feel the positive results of their success.	3.56
Jack Dustman Board Member and Former Chairman	3.0
We don't waste time as we are helping the community.	3.29
And we don't waste money.	3.1
In their December, 1995 review of the nation's best charities, U.S. News & World Report called Goodwill one of the five "Standout Good Guys."	3.57
In the short while since Goodwill helped him find his job, Robert has learned to thoroughly clean a motel room in about 40 minutes.	3.4
The magazine stated that Goodwill (as well as the other standouts) is "uniquely effective, innovative or valuable."	3.4
While I appreciate U.S. News & World Report's endorsement, the true value of your support is measured by the way Goodwill takes on problems that affect all of us.	2.9
And there are a lot of people who face these challenges every day of their lives.	2.9
So our work must continue.	3.14
Everyone benefits from the work we do together.	3.5
Many people need our help.	2.9
Please continue our important partnership.	3.0
Support Goodwill with a generous donation today.	3.14
We've helped people break free of the welfare cycle.	3.7
We've found ways for people with disabilities to enter the workforce.	3.38
December 10, 1996	3.0
We've expanded Goodwill's proven methods to towns and neighborhoods where they are needed most.	3.4
Of course, we've played different roles.	3.1
You have helped make Goodwill's work possible with your previous support.	3.6
Goodwill has devised the programs that turned your investment into results.	3.2
Everyone has.	2.9
When you and I help somebody find a job, one more person joins the ranks of tax payers, fewer tax dollars are spent on public assistance and businesses gain another consumer.	3.6
You and I have done some important work together.	3.6
There are a lot of barriers that keep people from working: physical and mental disabilities, history of welfare dependency and lack of education or self-esteem.	2.67
Now his goals are set on moving up in the company.	3.1
Every year, thousands of people come to Goodwill.	3.12
Like Michael, they share two common characteristics.	2.86
